occurredAt,traceId,generationId,requestId,eventType,durationMs
"2026-09-05T13:50:44.202Z","fe970beee8d198ffc6f90a81","12d6c946d9ae4cfa0f0fd2f5","","provider_usage",""
"2026-09-05T13:51:20.392Z","9dc1ee68fb770402372ab53e","a9c88f0c57c3344b2d37b35a","","prompt_ready",592
"2026-09-05T13:51:37.593Z","9dc1ee68fb770402372ab53e","a9c88f0c57c3344b2d37b35a","","provider_usage",""
"2026-09-05T13:52:27.300Z","b165cd44e12c98d3fdfaa2c5","3e603cf63a08e200d146aef1","","prompt_ready",577
"2026-09-05T13:52:35.031Z","b165cd44e12c98d3fdfaa2c5","3e603cf63a08e200d146aef1","","provider_usage",""
"2026-09-05T13:53:07.687Z","faf3f6d54c593d49a57ce2a9","cd21bbb324373015c61e85a7","","prompt_ready",544
"2026-09-05T13:53:27.554Z","faf3f6d54c593d49a57ce2a9","cd21bbb324373015c61e85a7","","provider_usage",""
"2026-09-05T14:22:53.752Z","484fe42569b31652a3f2cc61","f72c63f5ee376a311c3e3869","","prompt_ready",437
"2026-09-05T14:23:08.088Z","484fe42569b31652a3f2cc61","f72c63f5ee376a311c3e3869","","provider_usage",""
"2026-09-05T14:57:26.329Z","c945a4caf032b8d900ced000","a172f58c99091ede1a792ccc","","prompt_ready",522
"2026-09-05T15:13:44.262Z","c945a4caf032b8d900ced000","a172f58c99091ede1a792ccc","","prompt_ready",516
"2026-09-05T15:13:55.257Z","c945a4caf032b8d900ced000","a172f58c99091ede1a792ccc","","prompt_ready",750
"2026-09-05T15:14:02.405Z","c945a4caf032b8d900ced000","a172f58c99091ede1a792ccc","","provider_usage",""
"2026-09-05T15:14:07.122Z","8725b199ac151fe71f91b27b","00ff4a8597addc18a911df02","","prompt_ready",489
"2026-09-05T15:14:34.219Z","8725b199ac151fe71f91b27b","00ff4a8597addc18a911df02","","provider_usage",""
